name,height,european,weight,from,position
Deron Williams,1.91,FALSE,200,Illinois,G
Trevor Ariza,2.03,FALSE,215,UCLA,F
Patrick Beverley,1.83,FALSE,185,Arkansas,G
Corey Brewer,2.06,FALSE,186,Florida,G/F
Clint Capela,2.08,TRUE,240,INSEP (FRA),C
Sam Dekker,2.06,FALSE,230,Wisconsin,F
James Harden,1.96,FALSE,220,Arizona State,G
Montrezl Harrell,2.03,FALSE,240,Louisville,F
Dwight Howard,2.11,FALSE,265,SW Atlanta Academy (GA),C
Terrence Jones,2.06,FALSE,252,Kentucky,F
Ty Lawson,1.8,FALSE,195,North Carolina,G
K. J. McDaniels,1.98,FALSE,205,Clemson,G/F
Donatas Motiej��nas,2.13,TRUE,222,Lithuania,F/C
Jason Terry,1.88,FALSE,185,Arizona,G
Marcus Thornton,1.93,FALSE,205,LSU,G
Jordan Adams,1.96,FALSE,209,UCLA,G
Tony Allen,1.93,FALSE,213,Oklahoma State,G/F
Matt Barnes,2.01,FALSE,226,UCLA,F
Vince Carter,1.98,FALSE,220,North Carolina,G/F
Mario Chalmers,1.88,FALSE,190,Kansas,G
Mike Conley Jr.,1.85,FALSE,175,Ohio State,G
James Ennis,2.01,FALSE,210,Long Beach State,F
Marc Gasol,2.16,TRUE,255,Lausanne CS (TN),C
JaMychal Green,2.03,FALSE,227,Alabama,F
Jeff Green,2.06,FALSE,235,Georgetown,F
Courtney Lee,1.96,FALSE,200,Western Kentucky,G/F
Jarell Martin,2.06,FALSE,239,LSU,F
Zach Randolph,2.06,FALSE,260,Michigan State,F
Russ Smith,1.83,FALSE,165,Louisville,G
Brandan Wright,2.08,FALSE,210,North Carolina,F/C
Alexis Ajin�_a,2.18,TRUE,248,INSEP (FRA),C
Ryan Anderson,2.08,FALSE,240,California,F
�_mer A����k,2.13,TRUE,255,Turkey,C
Luke Babbitt,2.06,FALSE,225,Nevada,F
Norris Cole,1.88,FALSE,175,Cleveland State,G
Dante Cunningham,2.03,FALSE,230,Villanova,F
Anthony Davis,2.08,FALSE,253,Kentucky,F/C
Toney Douglas,1.88,FALSE,195,Florida State,G
Tyreke Evans,1.98,FALSE,220,Memphis,G/F
Alonzo Gee,1.98,FALSE,225,Alabama,G/F
Eric Gordon,1.93,FALSE,215,Indiana,G
Jrue Holiday,1.93,FALSE,205,UCLA,G
Kendrick Perkins,2.08,FALSE,270,Clifton J. Ozen HS (TX),C
Quincy Pondexter,1.98,FALSE,220,Washington,G/F
Ish Smith,1.83,FALSE,175,Wake Forest,G
LaMarcus Aldridge,2.11,FALSE,240,Texas,F/C
Kyle Anderson,2.06,FALSE,230,UCLA,F
Matt Bonner,2.08,FALSE,235,Florida,C
Rasual Butler,2.01,FALSE,215,La Salle,G
Boris Diaw,2.03,TRUE,250,INSEP (FRA),F/C
Tim Duncan,2.11,FALSE,255,Wake Forest,F/C
Manu Gin�_bili,1.98,FALSE,205,Argentina,G
Danny Green,1.98,FALSE,215,North Carolina,G/F
Kawhi Leonard,2.01,FALSE,230,San Diego State,F
Boban Marjanovi��,2.21,TRUE,290,Serbia,C
Ray McCallum   Jr.,1.91,FALSE,190,Detroit,G
Patty Mills,1.83,FALSE,185,Saint Mary's,G
Tony Parker,1.88,TRUE,185,INSEP (FRA),G
Jonathon Simmons,1.98,FALSE,195,Houston,G
David West,2.06,FALSE,250,Xavier,F
Darrell Arthur,2.06,FALSE,235,Kansas,F
Will Barton,1.98,FALSE,175,Memphis,G
Wilson Chandler,2.03,FALSE,225,DePaul,F
Kenneth Faried,2.03,FALSE,228,Morehead State,F
Randy Foye,1.93,FALSE,213,Villanova,G
Danilo Gallinari,2.08,TRUE,225,Italy,F
Gary Harris,1.93,FALSE,210,Michigan State,G
JJ Hickson,2.06,FALSE,242,North Carolina State,F/C
Nikola Joki��,2.11,TRUE,250,Serbia,C
Joffrey Lauvergne,2.11,TRUE,220,France,F/C
Mike Miller,2.03,FALSE,218,Florida,G/F
Emmanuel Mudiay,1.96,FALSE,200,Prime Prep Academy (TX),G
Jameer Nelson,1.83,FALSE,190,Saint Joseph's,G
Jusuf Nurki��,2.11,TRUE,280,Bosnia and Herzegovina,C
Kostas Papanikolaou,2.03,TRUE,235,Greece,F
Nemanja Bjelica,2.08,TRUE,240,Serbia,F
Gorgui Dieng,2.11,FALSE,241,Louisville,C
Kevin Garnett,2.11,FALSE,240,Farragut HS (IL),F/C
Tyus Jones,1.88,FALSE,195,Duke,G
Zach LaVine,1.96,FALSE,189,UCLA,G
Kevin Martin,2.01,FALSE,199,Western Carolina,G
Andre Miller,1.88,FALSE,200,Utah,G
Shabazz Muhammad,1.98,FALSE,223,UCLA,G/F
Adreian Payne,2.08,FALSE,237,Michigan State,F/C
Nikola Pekovi��,2.11,TRUE,307,Montenegro,C
Tayshaun Prince,2.06,FALSE,212,Kentucky,F
Ricky Rubio,1.93,TRUE,194,Spain,G
Damjan Rude�_,2.08,TRUE,228,Croatia,F
Karl-Anthony Towns,2.13,FALSE,244,Kentucky,C
Andrew Wiggins,2.03,FALSE,199,Kansas,G/F
Steven Adams,2.13,FALSE,255,Pittsburgh,C
D. J. Augustin,1.83,FALSE,183,Texas,G
Nick Collison,2.08,FALSE,255,Kansas,F
Kevin Durant,2.08,FALSE,240,Texas,F
Josh Huestis,2.01,FALSE,230,Stanford,F
Serge Ibaka,2.08,FALSE,245,Spain,F/C
Enes Kanter,2.11,TRUE,245,Stoneridge PS (CA),C
Mitch McGary,2.08,FALSE,255,Michigan,F
Anthony Morrow,1.96,FALSE,210,Georgia Tech,G
Steve Novak,2.08,FALSE,225,Marquette,F
Cameron Payne,1.91,FALSE,185,Murray State,G
Andr�� Roberson,2.01,FALSE,210,Colorado,G/F
Kyle Singler,2.03,FALSE,228,Duke,F
Dion Waiters,1.93,FALSE,220,Syracuse,G
Russell Westbrook,1.91,FALSE,200,UCLA,G
Cliff Alexander,2.06,FALSE,240,Kansas,F
Al-Farouq Aminu,2.06,FALSE,215,Wake Forest,F
Pat Connaughton,1.96,FALSE,206,Notre Dame,G
Allen Crabbe,1.98,FALSE,210,California,F
Ed Davis,2.08,FALSE,240,North Carolina,F
Tim Frazier,1.85,FALSE,170,Penn State,G
Maurice Harkless,2.06,FALSE,215,St. John's,F
